SYMBOL,NAME,PRICE,SHARES
AXP,American Express Co,177.11,1000
AMGN,Amgen Inc,233.23,1000
AAPL,Apple Inc,193.13,1000
BA,Boeing Co,213.61,1000
CAT,Caterpillar Inc,261.09,1000
CSCO,Cisco Systems Inc,52.37,1000
CVX,Chevron Corp,156.4,1000
GS,Goldman Sachs Group Inc,350.86,1000
HD,Home Depot Inc,319.09,1000
HON,Honeywell International Inc,207.96,1000
IBM,International Business Machines Corp,138.38,1000
INTC,Intel Corp,33.37,1000
JNJ,Johnson & Johnson,168.38,1000
KO,Coca-Cola Co,62.39,1000
JPM,JPMorgan Chase & Co,156.15,1000
MCD,McDonald's Corp,297.13,1000
MMM,3M Co,104.29,1000
MRK,Merck & Co Inc,108.46,1000
MSFT,Microsoft Corp,346.87,1000
NKE,Nike Inc,107.53,1000
PG,Procter & Gamble Co,150.56,1000
TRV,Travelers Companies Inc,173.63,1000
UNH,UnitedHealth Group Inc,504.24,1000
CRM,Salesforce Inc,228.16,1000
VZ,Verizon Communications Inc,33.64,1000
V,Visa Inc,239.62,1000
WBA,Walgreens Boots Alliance Inc,30.24,1000
WMT,Walmart Inc,157.48,1000
DIS,Walt Disney Co,86.21,1000
DOW,Dow Inc,53.05,1000
